,Flight name,Departure_time,Arrival_time,Price,Source,Destination,Duration,No of stop,Date
0,IndiGo,20:05,00:50,2191,Bengaluru,Delhi,4h 45m,1,2022-03-28
1,IndiGo,23:05,04:15,2356,Bengaluru,Delhi,5h 10m,1,2022-03-28
2,IndiGo,17:10,22:45,2356,Bengaluru,Delhi,5h 35m,1,2022-03-28
3,IndiGo,20:15,02:10,2356,Bengaluru,Delhi,5h 55m,1,2022-03-28
4,IndiGo,11:20,18:30,2356,Bengaluru,Delhi,7h 10m,1,2022-03-28
5,IndiGo,20:15,04:15,2356,Bengaluru,Delhi,8h,1,2022-03-28
6,Go First,19:35,00:30,2531,Bengaluru,Delhi,4h 55m,1,2022-03-28
7,IndiGo,18:45,00:05,2927,Bengaluru,Delhi,5h 20m,1,2022-03-28
8,IndiGo,12:55,18:25,2927,Bengaluru,Delhi,5h 30m,1,2022-03-28
9,IndiGo,18:45,00:50,2927,Bengaluru,Delhi,6h 5m,1,2022-03-28
10,IndiGo,16:20,22:35,2927,Bengaluru,Delhi,6h 15m,1,2022-03-28
11,IndiGo,16:20,00:05,2927,Bengaluru,Delhi,7h 45m,1,2022-03-28
12,IndiGo,10:15,18:25,2927,Bengaluru,Delhi,8h 10m,1,2022-03-28
13,IndiGo,02:40,09:45,3000,Bengaluru,Delhi,7h 5m,1,2022-03-28
14,IndiGo,23:05,07:05,3000,Bengaluru,Delhi,8h,1,2022-03-28
15,Vistara,17:45,20:20,3233,Bengaluru,Delhi,2h 35m,Non,2022-03-28
16,Vistara,21:10,23:45,3233,Bengaluru,Delhi,2h 35m,Non,2022-03-28
17,Vistara,07:00,09:40,3233,Bengaluru,Delhi,2h 40m,Non,2022-03-28
18,Vistara,11:30,14:10,3233,Bengaluru,Delhi,2h 40m,Non,2022-03-28
19,Vistara,08:00,10:40,3233,Bengaluru,Delhi,2h 40m,Non,2022-03-28
20,Go First,21:00,23:45,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
21,SpiceJet,05:55,08:40,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
22,Vistara,19:40,22:25,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
23,IndiGo,14:00,16:45,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
24,Air Asia,11:20,14:05,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
25,IndiGo,11:55,14:40,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
26,IndiGo,16:25,19:10,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
27,SpiceJet,09:20,12:05,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
28,Air Asia,06:10,08:55,3233,Bengaluru,Delhi,2h 45m,Non,2022-03-28
29,IndiGo,09:15,12:05,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
30,IndiGo,20:15,23:05,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
31,IndiGo,19:15,22:05,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
32,Air Asia,00:45,03:35,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
33,IndiGo,06:40,09:30,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
34,IndiGo,17:45,20:35,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
35,IndiGo,23:45,02:35,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
36,Air Asia,00:30,03:20,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
37,Air Asia,22:10,01:00,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
38,IndiGo,04:40,07:30,3233,Bengaluru,Delhi,2h 50m,Non,2022-03-28
39,Go First,07:45,10:40,3233,Bengaluru,Delhi,2h 55m,Non,2022-03-28
40,IndiGo,21:55,00:50,3233,Bengaluru,Delhi,2h 55m,Non,2022-03-28
41,SpiceJet,23:55,02:50,3233,Bengaluru,Delhi,2h 55m,Non,2022-03-28
42,IndiGo,07:50,10:45,3233,Bengaluru,Delhi,2h 55m,Non,2022-03-28
43,Vistara,09:45,12:40,3233,Bengaluru,Delhi,2h 55m,Non,2022-03-28
44,SpiceJet,20:25,23:25,3233,Bengaluru,Delhi,3h,Non,2022-03-28
45,IndiGo,07:05,12:05,3233,Bengaluru,Delhi,5h,1,2022-03-28
46,IndiGo,15:20,20:55,3233,Bengaluru,Delhi,5h 35m,1,2022-03-28
47,IndiGo,06:05,12:05,3233,Bengaluru,Delhi,6h,1,2022-03-28
48,IndiGo,08:50,15:15,3233,Bengaluru,Delhi,6h 25m,1,2022-03-28
49,IndiGo,10:25,17:40,3233,Bengaluru,Delhi,7h 15m,1,2022-03-28
50,IndiGo,12:55,20:10,3233,Bengaluru,Delhi,7h 15m,1,2022-03-28
51,IndiGo,15:20,22:35,3233,Bengaluru,Delhi,7h 15m,1,2022-03-28
52,IndiGo,23:45,07:15,3233,Bengaluru,Delhi,7h 30m,1,2022-03-28
53,IndiGo,10:15,17:55,3233,Bengaluru,Delhi,7h 40m,1,2022-03-28
54,IndiGo,09:45,17:45,3233,Bengaluru,Delhi,8h,1,2022-03-28
55,Air India,10:25,13:00,3234,Bengaluru,Delhi,2h 35m,Non,2022-03-28
56,Air India,13:20,16:05,3234,Bengaluru,Delhi,2h 45m,Non,2022-03-28
57,Air India,06:10,08:55,3234,Bengaluru,Delhi,2h 45m,Non,2022-03-28
58,Air India,17:50,20:35,3234,Bengaluru,Delhi,2h 45m,Non,2022-03-28
59,Air India,21:00,23:55,3234,Bengaluru,Delhi,2h 55m,Non,2022-03-28
60,IndiGo,10:25,18:25,3286,Bengaluru,Delhi,8h,2,2022-03-28
61,Air India,18:50,08:55,3422,Bengaluru,Delhi,14h 5m,1,2022-03-28
62,Air India,18:50,12:20,3422,Bengaluru,Delhi,17h 30m,1,2022-03-28
63,Air India,18:50,18:30,3422,Bengaluru,Delhi,23h 40m,1,2022-03-28
64,Go First,15:30,21:30,3466,Bengaluru,Delhi,6h,1,2022-03-28
65,Go First,17:25,01:00,3466,Bengaluru,Delhi,7h 35m,1,2022-03-28
66,Go First,05:30,13:45,3466,Bengaluru,Delhi,8h 15m,1,2022-03-28
67,SpiceJet,10:45,19:25,3466,Bengaluru,Delhi,8h 40m,1,2022-03-28
68,Go First,15:30,01:00,3466,Bengaluru,Delhi,9h 30m,1,2022-03-28
69,SpiceJet,10:45,10:40,3466,Bengaluru,Delhi,23h 55m,1,2022-03-28
70,Air Asia,13:00,20:10,3525,Bengaluru,Delhi,7h 10m,1,2022-03-28
71,Air Asia,13:00,20:50,3525,Bengaluru,Delhi,7h 50m,1,2022-03-28
72,Air India,07:35,12:20,3674,Bengaluru,Delhi,4h 45m,1,2022-03-28
73,Air India,07:35,18:30,3674,Bengaluru,Delhi,10h 55m,1,2022-03-28
74,Air India,07:35,08:55,3674,Bengaluru,Delhi,25h 20m,1,2022-03-28
75,SpiceJet,20:50,09:50,3754,Bengaluru,Delhi,13h,1,2022-03-28
76,SpiceJet,08:10,00:50,3754,Bengaluru,Delhi,16h 40m,1,2022-03-28
